243;194;451;475;467;300;210;425;26;592;885;895;19;926;598;311;728;938;877;309;153;811;109;634;703;13;948;893;161;898;861;950;837;175;767;157;114;893;862;490
568;574;262;766;857;575;669;252;938;363;648;892;196;825;464;596;592;822;306;328;507;584;719;291;610;679;120;765;230;72;507;884;364;763;535;960;966;334;247;155
628;578;307;934;536;945;366;635;299;62;606;865;428;490;515;386;325;59;508;295;331;594;428;342;126;95;621;997;488;237;636;295;998;439;401;272;600;485;954;735
706;510;783;345;45;723;161;120;954;696;101;314;45;367;222;78;704;821;588;129;383;328;981;17;427;280;931;223;671;939;73;655;651;404;594;198;462;18;225;612
562;112;609;609;835;851;207;772;410;876;471;43;630;104;683;891;598;846;150;17;603;74;476;158;30;57;763;235;354;769;109;111;661;509;272;286;32;548;945;781
554;104;596;298;432;341;457;22;303;455;364;862;337;323;405;43;545;857;608;405;627;776;446;29;239;288;525;375;685;426;723;944;92;171;308;126;56;606;505;471
872;39;132;145;550;704;707;18;232;687;776;839;202;507;403;373;81;917;901;140;234;58;794;414;713;717;821;374;768;780;248;144;847;671;921;825;442;70;211;767
381;767;697;386;580;201;767;898;985;901;223;537;848;102;773;38;33;794;169;177;134;894;210;189;541;263;733;492;673;575;64;752;627;978;273;636;285;50;257;527
226;151;276;230;698;490;622;794;242;119;464;313;882;475;25;489;908;820;792;478;473;215;980;980;853;614;170;381;178;573;36;713;666;993;640;948;75;547;342;153
70;275;876;784;966;594;596;814;511;523;968;124;254;237;505;161;275;831;479;983;814;232;493;820;758;880;726;521;335;690;701;709;87;186;105;206;600;673;827;25
231;625;298;771;967;90;853;267;438;881;615;431;147;685;734;510;283;521;220;137;138;706;813;148;960;499;687;849;79;213;944;771;587;550;309;136;232;678;216;654
814;624;291;529;64;250;723;295;532;711;286;210;422;456;135;955;413;441;112;172;670;776;293;871;56;534;184;374;103;862;323;361;908;670;48;771;698;401;656;416
364;395;732;88;833;517;693;34;614;582;515;517;740;505;389;951;34;894;911;582;332;94;709;779;748;798;219;284;705;72;731;650;376;374;738;666;762;692;374;246
