428;893;245;992;255;967;436;984;373;600;925;737;364;98;495;733;32;529;767;564;924;261;243;860;287;331;501;214;798;509;901;696;120;24;900;728;955;824;84;161;114;244;748;504;325;993;822;569;45;776;202;245;646;189;338;950;621;75;953;116
473;496;657;540;777;105;150;478;430;757;607;265;927;737;906;389;635;730;253;670;773;347;521;252;785;635;46;314;645;402;305;154;845;879;160;940;494;789;343;744;752;992;322;956;919;947;736;26;248;727;559;503;217;710;589;198;403;365;143;494
697;664;130;249;50;48;262;878;790;854;411;906;560;23;623;682;109;938;54;72;28;870;536;893;166;370;780;301;219;107;449;250;497;237;350;469;449;940;593;596;881;969;476;871;34;303;603;844;885;285;823;277;465;19;437;437;107;991;593;884
103;883;287;569;898;860;206;99;134;757;63;839;981;956;990;83;95;176;336;479;398;973;188;235;534;895;861;481;786;854;907;276;130;897;612;63;295;52;396;47;424;142;752;964;755;331;352;347;974;89;734;397;276;326;985;424;813;200;790;277
595;10;331;678;95;837;451;955;990;20;735;19;202;307;500;946;46;222;747;894;957;960;502;501;16;490;701;993;838;881;65;942;256;705;563;371;518;530;864;614;797;602;706;927;280;218;785;999;938;843;72;371;28;951;11;760;893;578;21;398
583;596;239;269;336;785;792;647;588;992;831;911;445;672;104;541;459;410;518;605;155;612;308;434;957;21;504;895;929;131;336;75;373;805;123;410;566;595;268;567;626;228;72;701;827;392;626;388;395;374;21;671;999;268;944;166;271;972;423;722
221;411;844;773;110;750;592;628;762;803;867;408;292;393;703;195;875;361;229;128;735;205;91;512;488;805;252;771;968;327;206;408;894;636;926;232;84;441;136;927;140;292;558;656;807;424;392;485;448;671;549;213;329;888;657;229;751;709;642;793
664;515;135;597;615;488;399;869;507;377;264;287;144;84;320;44;715;928;94;257;384;730;247;793;875;574;946;204;847;907;187;161;880;918;52;82;449;260;779;222;243;809;612;851;52;103;387;40;196;805;10;17;533;983;470;600;334;191;735;209
573;374;850;184;122;197;821;887;273;767;695;340;482;842;282;805;659;755;778;843;545;766;416;696;666;593;501;41;748;518;130;843;604;227;780;501;30;338;153;226;670;365;598;748;939;886;492;812;671;512;157;175;338;699;384;497;77;800;200;200
148;741;360;638;294;490;496;474;186;203;30;171;900;408;458;639;45;946;634;251;241;946;279;419;455;171;345;692;232;859;354;688;308;259;697;84;523;967;186;778;42;852;156;214;552;457;578;962;719;944;439;910;25;271;169;581;673;65;196;549
68;68;11;659;303;272;280;88;864;933;745;58;24;528;987;226;847;362;743;981;835;780;720;376;937;705;443;392;105;497;146;320;728;536;258;87;136;366;681;73;975;673;807;362;421;105;778;959;894;975;67;225;811;151;274;289;536;898;71;863
49;560;235;626;524;662;812;154;85;723;443;291;828;773;542;564;717;523;679;583;587;372;332;369;193;386;968;216;351;184;387;390;623;235;779;923;300;751;156;213;909;259;800;300;975;596;196;222;722;672;42;597;567;204;895;978;465;164;239;150
30;26;291;583;885;304;952;430;930;137;621;71;452;314;617;422;62;87;706;667;921;651;179;395;185;498;431;458;149;650;659;217;102;603;179;556;362;705;500;50;840;963;513;852;746;466;727;531;110;206;399;239;358;282;164;188;271;576;659;74
699;809;631;949;347;257;902;967;771;920;594;657;993;725;660;719;950;82;914;859;285;664;567;135;939;774;912;390;61;42;108;789;361;639;970;470;964;282;602;246;74;156;252;716;25;942;273;215;253;865;154;576;889;583;473;962;131;248;148;941
70;224;394;559;731;206;898;149;610;839;495;512;500;186;225;418;216;100;161;215;877;99;402;26;272;933;768;791;917;38;293;349;660;609;987;341;404;52;671;244;312;691;525;763;63;530;575;500;28;828;408;463;908;738;227;727;784;910;593;505
